FlightId,Class,Price,CapacityTotal,SeatsAvailable
5b863a0d-d511-4698-ad78-9b9b4a7fdf83,Economy,499.99,250,250
5b863a0d-d511-4698-ad78-9b9b4a7fdf83,Business,1399.99,40,40
5b863a0d-d511-4698-ad78-9b9b4a7fdf83,First,2999.99,14,14
6d8bf0cd-b24c-4761-b7e5-05c88db97746,Economy,289.50,240,240
6d8bf0cd-b24c-4761-b7e5-05c88db97746,Business,899.50,32,32
6d8bf0cd-b24c-4761-b7e5-05c88db97746,First,1899.50,8,8
09df30d1-b5d3-4ab8-baf7-aff65e27e12c,Economy,329.00,210,209
09df30d1-b5d3-4ab8-baf7-aff65e27e12c,Business,1049.00,30,30
09df30d1-b5d3-4ab8-baf7-aff65e27e12c,First,2199.00,8,8
886d8b5a-90dc-4d79-bb9f-d27479008362,Economy,449.00,200,200
886d8b5a-90dc-4d79-bb9f-d27479008362,Business,1299.00,28,28
886d8b5a-90dc-4d79-bb9f-d27479008362,First,2799.00,10,10
73b9850a-6232-4bc0-ae22-f15633e66935,Economy,159.00,190,190
73b9850a-6232-4bc0-ae22-f15633e66935,Business,499.00,20,20
73b9850a-6232-4bc0-ae22-f15633e66935,First,1099.00,6,6
